reference_id,uart_seq,uart_round,payload_id,frame_hex,app_payload_hex,frame_bytes,sf,bandwidth_hz,cr,preamble_symbols,sync_word,phy_crc,ldro,sample_rate_hz,samples_per_symbol,leading_silence_samples,trailing_silence_samples,reference_samples,header_symbols,payload_symbols,tx_period_ms,source_reference_path,dataset_reference_path,reference_sha256,reference_metadata_path,uart_source_path,uart_source_sha256
10,10,0,10,40 44 33 22 11 00 01 00 58 0A 00 5D 6C 2C 7E 06 8C A5 1D 13 C6 9F C2 16 4B 05 58 45 67 78 56 34 12,0A 00 5D 6C 2C 7E 06 8C A5 1D 13 C6 9F C2 16 4B 05 58 45 67,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000010_fulltrim.cfile,reference/signalout_000010_fulltrim.cfile,4BBE0AAEE465334069C900B949E5594DDD9FA1811763AA6B9284E050D69B7B22,data/reference_phy/metadata/000010.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
11,11,0,11,40 44 33 22 11 00 01 00 58 0B 00 95 C7 C5 3A 1F 37 68 25 72 C2 4A 55 0F 65 31 6B 24 DE 78 56 34 12,0B 00 95 C7 C5 3A 1F 37 68 25 72 C2 4A 55 0F 65 31 6B 24 DE,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000011_fulltrim.cfile,reference/signalout_000011_fulltrim.cfile,FD1C22E3EF2AEB8584236B2CCBF4833691C2354AE3789A3FB8C8CECB533D3F53,data/reference_phy/metadata/000011.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
12,12,0,12,40 44 33 22 11 00 01 00 58 0C 00 58 33 32 20 52 22 36 72 83 E3 C5 9D 70 A2 26 6E 54 F2 78 56 34 12,0C 00 58 33 32 20 52 22 36 72 83 E3 C5 9D 70 A2 26 6E 54 F2,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000012_fulltrim.cfile,reference/signalout_000012_fulltrim.cfile,A61BF5FC0BF266464077CBC9DB50F0DE4C5A24590F1A7E45C591935DF1F42051,data/reference_phy/metadata/000012.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
13,13,0,13,40 44 33 22 11 00 01 00 58 0D 00 24 92 6A 43 3D BC 1B 41 38 B9 D5 1C 90 96 13 8A B3 84 78 56 34 12,0D 00 24 92 6A 43 3D BC 1B 41 38 B9 D5 1C 90 96 13 8A B3 84,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000013_fulltrim.cfile,reference/signalout_000013_fulltrim.cfile,B7BF0E22D67C336E93EF3568BD7185269FCC88AB4964F5237EED6606B0F36A6B,data/reference_phy/metadata/000013.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
14,14,0,14,40 44 33 22 11 00 01 00 58 0E 00 7D 76 4E 04 65 EE D3 DB 17 CE A1 BD B3 75 4C 77 45 B4 78 56 34 12,0E 00 7D 76 4E 04 65 EE D3 DB 17 CE A1 BD B3 75 4C 77 45 B4,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000014_fulltrim.cfile,reference/signalout_000014_fulltrim.cfile,87679B0DD834828C3C672431DB25D47C2EFDFFA808978693E528525AED02D10E,data/reference_phy/metadata/000014.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
15,15,0,15,40 44 33 22 11 00 01 00 58 0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1 78 56 34 12,0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000015_fulltrim.cfile,reference/signalout_000015_fulltrim.cfile,50488E0C140EE10095BEED4DE8796D048058846B6007024222A909D3A0F3828E,data/reference_phy/metadata/000015.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
16,16,0,16,40 44 33 22 11 00 01 00 58 10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27 78 56 34 12,10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000016_fulltrim.cfile,reference/signalout_000016_fulltrim.cfile,3C11B4303F84860E85121D16B936DA55E88D2DDF232C146B13A3FC1C7CB9EFED,data/reference_phy/metadata/000016.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
17,17,0,17,40 44 33 22 11 00 01 00 58 11 00 F4 0A D3 C6 BA 1C 52 0C CF C8 B1 3E 5A 7F 01 F7 D3 F9 78 56 34 12,11 00 F4 0A D3 C6 BA 1C 52 0C CF C8 B1 3E 5A 7F 01 F7 D3 F9,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000017_fulltrim.cfile,reference/signalout_000017_fulltrim.cfile,AE5630079E9680C0271A44F4F7EB9B3DB1A54B4C0153BD7EE02A4F52902B64E1,data/reference_phy/metadata/000017.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
18,18,0,18,40 44 33 22 11 00 01 00 58 12 00 AF 35 AD 06 08 27 8F D9 F5 F3 42 86 02 24 22 0D 2A 17 78 56 34 12,12 00 AF 35 AD 06 08 27 8F D9 F5 F3 42 86 02 24 22 0D 2A 17,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000018_fulltrim.cfile,reference/signalout_000018_fulltrim.cfile,B84855C800259378CB45BDBB022739F6AE33E3A28B345197B338479B7780DA94,data/reference_phy/metadata/000018.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
19,19,0,19,40 44 33 22 11 00 01 00 58 13 00 15 12 1F 59 50 93 A8 A7 35 F2 D3 00 31 3F 7D 4D CE DC 78 56 34 12,13 00 15 12 1F 59 50 93 A8 A7 35 F2 D3 00 31 3F 7D 4D CE DC,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000019_fulltrim.cfile,reference/signalout_000019_fulltrim.cfile,1EAE249E293CC4432670B3D8B07C6CC0CFA14393E2C2354318917BF12727D22F,data/reference_phy/metadata/000019.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
20,20,0,20,40 44 33 22 11 00 01 00 58 14 00 60 FD BD B8 EF C4 A9 81 F4 95 4B 8F 6D 39 8C F0 5C 78 78 56 34 12,14 00 60 FD BD B8 EF C4 A9 81 F4 95 4B 8F 6D 39 8C F0 5C 78,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000020_fulltrim.cfile,reference/signalout_000020_fulltrim.cfile,A00D535685A6C7CB0E7C61C4F4A1A9A31AF9640F34310A3AA01C570F4F6C8961,data/reference_phy/metadata/000020.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
21,21,0,21,40 44 33 22 11 00 01 00 58 15 00 BA AF 12 DC EB 44 44 B2 5D 9B DE F5 78 90 2F 6A FC D7 78 56 34 12,15 00 BA AF 12 DC EB 44 44 B2 5D 9B DE F5 78 90 2F 6A FC D7,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000021_fulltrim.cfile,reference/signalout_000021_fulltrim.cfile,0DF0106D089EF688B2160087E345E899343DD1D23CB40A7FE844F9844E7AA409,data/reference_phy/metadata/000021.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
22,22,0,22,40 44 33 22 11 00 01 00 58 16 00 F0 89 E8 B6 A2 58 97 A8 45 F2 8B 62 50 33 4D 30 F6 FB 78 56 34 12,16 00 F0 89 E8 B6 A2 58 97 A8 45 F2 8B 62 50 33 4D 30 F6 FB,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000022_fulltrim.cfile,reference/signalout_000022_fulltrim.cfile,696BCB28B358B7F959C474FD1028BE436C1D9DDE963B3501720ECB72A04295D1,data/reference_phy/metadata/000022.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
23,23,0,23,40 44 33 22 11 00 01 00 58 17 00 6C 06 BB 34 49 C8 A7 EB D4 BD 14 75 AF 5A 77 87 3D 18 78 56 34 12,17 00 6C 06 BB 34 49 C8 A7 EB D4 BD 14 75 AF 5A 77 87 3D 18,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000023_fulltrim.cfile,reference/signalout_000023_fulltrim.cfile,443D8B688D0ACDE1C371714615A250B7FF6FE680A2679A25AE09F77B84B5CB30,data/reference_phy/metadata/000023.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
24,24,0,24,40 44 33 22 11 00 01 00 58 18 00 2D 49 F1 6A 2F F3 D8 2A 6A 9A 1A 76 EB B4 DB 4D 90 A2 78 56 34 12,18 00 2D 49 F1 6A 2F F3 D8 2A 6A 9A 1A 76 EB B4 DB 4D 90 A2,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000024_fulltrim.cfile,reference/signalout_000024_fulltrim.cfile,63C957A5129A659310EE6B5CBA25ADC539D5C140A78B9D44A2C458A5D137E988,data/reference_phy/metadata/000024.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
25,25,0,25,40 44 33 22 11 00 01 00 58 19 00 73 76 3A 4D 68 C1 FC AD A4 5A 0F 69 73 F3 F4 B9 23 B5 78 56 34 12,19 00 73 76 3A 4D 68 C1 FC AD A4 5A 0F 69 73 F3 F4 B9 23 B5,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000025_fulltrim.cfile,reference/signalout_000025_fulltrim.cfile,E2AF773355CBC16664D1127D11AD50F94AC02680E586B8D221875E101D22A7FF,data/reference_phy/metadata/000025.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
26,26,0,26,40 44 33 22 11 00 01 00 58 1A 00 57 97 D8 89 7C 3C 79 17 D8 8E 5E AC 25 AC 24 BF 7B BB 78 56 34 12,1A 00 57 97 D8 89 7C 3C 79 17 D8 8E 5E AC 25 AC 24 BF 7B BB,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000026_fulltrim.cfile,reference/signalout_000026_fulltrim.cfile,D8F83E475608D547D2A743A7C31AAA1B068BC9326AE1AC58FFAB9655E84D1F9A,data/reference_phy/metadata/000026.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
27,27,0,27,40 44 33 22 11 00 01 00 58 1B 00 CC 4E FE 49 39 69 2F FB 2C B0 B6 BC 29 0A EC 2D 7B C7 78 56 34 12,1B 00 CC 4E FE 49 39 69 2F FB 2C B0 B6 BC 29 0A EC 2D 7B C7,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000027_fulltrim.cfile,reference/signalout_000027_fulltrim.cfile,6BF6BF80E4FA96C7D0A6638C04F070F6A884659AB81567D65EEA12CB3D709B55,data/reference_phy/metadata/000027.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
28,28,0,28,40 44 33 22 11 00 01 00 58 1C 00 45 28 F9 6F 7F 79 6B EC 6B 08 AA D0 98 D6 0D E5 BF 1B 78 56 34 12,1C 00 45 28 F9 6F 7F 79 6B EC 6B 08 AA D0 98 D6 0D E5 BF 1B,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000028_fulltrim.cfile,reference/signalout_000028_fulltrim.cfile,988C96C9AF208043CE918BEF9AC19655B132B3892C07882C975770B2B0B0ADC5,data/reference_phy/metadata/000028.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
29,29,0,29,40 44 33 22 11 00 01 00 58 1D 00 AF B5 09 3A 12 34 E8 7C 85 67 EC 55 FF 66 28 D5 C7 F0 78 56 34 12,1D 00 AF B5 09 3A 12 34 E8 7C 85 67 EC 55 FF 66 28 D5 C7 F0,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000029_fulltrim.cfile,reference/signalout_000029_fulltrim.cfile,0598E0C769163045008D418325B6454260B8303742164825687C3CEA61E2D439,data/reference_phy/metadata/000029.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
30,30,0,30,40 44 33 22 11 00 01 00 58 1E 00 C9 F4 0F E7 35 E5 E5 6F 43 1B 44 6A 2E 5A 49 57 40 7F 78 56 34 12,1E 00 C9 F4 0F E7 35 E5 E5 6F 43 1B 44 6A 2E 5A 49 57 40 7F,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000030_fulltrim.cfile,reference/signalout_000030_fulltrim.cfile,EC2DB0A946236D726757834CA38DF4E8F243791ED43109D5A98D1FC357220BC4,data/reference_phy/metadata/000030.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
31,31,0,31,40 44 33 22 11 00 01 00 58 1F 00 03 6F 9B BB BC CB CE C2 01 4A AF FE 9B 73 03 7E 5E 64 78 56 34 12,1F 00 03 6F 9B BB BC CB CE C2 01 4A AF FE 9B 73 03 7E 5E 64,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000031_fulltrim.cfile,reference/signalout_000031_fulltrim.cfile,C2E82B4DFABB17F3ED866861B056EB95B7050E94B6DED37A6BFFB2FE24B3F3A7,data/reference_phy/metadata/000031.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
32,32,0,32,40 44 33 22 11 00 01 00 58 20 00 B1 09 A4 CB 21 18 DA A7 0B C6 41 D4 A5 32 B0 3B 40 5B 78 56 34 12,20 00 B1 09 A4 CB 21 18 DA A7 0B C6 41 D4 A5 32 B0 3B 40 5B,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000032_fulltrim.cfile,reference/signalout_000032_fulltrim.cfile,5A7DEEC981251C13BABADB8D8189272B7915DECCDCCD5A2C29EA1B2F96179CA3,data/reference_phy/metadata/000032.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
33,33,0,33,40 44 33 22 11 00 01 00 58 21 00 91 01 7C 2B FC 27 4B 7F E3 F6 01 4A 33 30 13 24 01 2D 78 56 34 12,21 00 91 01 7C 2B FC 27 4B 7F E3 F6 01 4A 33 30 13 24 01 2D,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000033_fulltrim.cfile,reference/signalout_000033_fulltrim.cfile,41277C204D25DDD2B0D23C5899D4404838064EE306A2112627C7FDCBCA5A7F03,data/reference_phy/metadata/000033.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
34,34,0,34,40 44 33 22 11 00 01 00 58 22 00 E7 91 7D F4 B7 D3 28 23 A9 60 DF B9 A5 49 F3 7D 2B 64 78 56 34 12,22 00 E7 91 7D F4 B7 D3 28 23 A9 60 DF B9 A5 49 F3 7D 2B 64,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000034_fulltrim.cfile,reference/signalout_000034_fulltrim.cfile,6F4380B8D3846669B80F9ACCD0A5EA709EACF2720F652625028ABFC9E807ABEB,data/reference_phy/metadata/000034.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
35,35,0,35,40 44 33 22 11 00 01 00 58 23 00 E8 F4 B7 A5 CB E0 F7 81 5F 05 A6 22 65 91 59 00 7B 7B 78 56 34 12,23 00 E8 F4 B7 A5 CB E0 F7 81 5F 05 A6 22 65 91 59 00 7B 7B,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000035_fulltrim.cfile,reference/signalout_000035_fulltrim.cfile,ED9C62EFDE332EA1277D9448DB8036B1E20D082E31B0494CBFF71E0A49AA359B,data/reference_phy/metadata/000035.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
36,36,0,36,40 44 33 22 11 00 01 00 58 24 00 A4 CC 8B 3D DC 9D FA D9 9F 7E D5 AD B7 91 84 E7 7A 91 78 56 34 12,24 00 A4 CC 8B 3D DC 9D FA D9 9F 7E D5 AD B7 91 84 E7 7A 91,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000036_fulltrim.cfile,reference/signalout_000036_fulltrim.cfile,3146CA8D7A3BB53ADD78B1890A535208AF6117D61293516019E838B83E587740,data/reference_phy/metadata/000036.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
37,37,0,37,40 44 33 22 11 00 01 00 58 25 00 8E B9 F4 D9 34 EB 82 E4 D6 0F 2F 70 8C BC AC DB 4E 79 78 56 34 12,25 00 8E B9 F4 D9 34 EB 82 E4 D6 0F 2F 70 8C BC AC DB 4E 79,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000037_fulltrim.cfile,reference/signalout_000037_fulltrim.cfile,8CBDB0D5953A1F444C602809E9939B0DD797E81031AF1D20C16DBF3D2B1F6263,data/reference_phy/metadata/000037.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
38,38,0,38,40 44 33 22 11 00 01 00 58 26 00 01 77 F1 4E 6D 7A C1 54 22 02 15 AB E8 48 AE 1C 43 FE 78 56 34 12,26 00 01 77 F1 4E 6D 7A C1 54 22 02 15 AB E8 48 AE 1C 43 FE,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000038_fulltrim.cfile,reference/signalout_000038_fulltrim.cfile,AFB5EDA52026F16A0C83C370F59957A31DE3960E49410D139205B08A2C9FFDFB,data/reference_phy/metadata/000038.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
39,39,0,39,40 44 33 22 11 00 01 00 58 27 00 BD 1A BE 3A 08 89 07 D5 F8 64 91 29 BF 71 75 0D 64 2B 78 56 34 12,27 00 BD 1A BE 3A 08 89 07 D5 F8 64 91 29 BF 71 75 0D 64 2B,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000039_fulltrim.cfile,reference/signalout_000039_fulltrim.cfile,66D586B1F167CA1EA4747D2AEDFE9159ED23BD6643E43E5BE6C7980EDBC7EE1A,data/reference_phy/metadata/000039.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
