reference_id,uart_seq,uart_round,payload_id,frame_hex,app_payload_hex,frame_bytes,sf,bandwidth_hz,cr,preamble_symbols,sync_word,phy_crc,ldro,sample_rate_hz,samples_per_symbol,leading_silence_samples,trailing_silence_samples,reference_samples,header_symbols,payload_symbols,tx_period_ms,source_reference_path,dataset_reference_path,reference_sha256,reference_metadata_path,uart_source_path,uart_source_sha256
0,0,0,0,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000000_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,140C2224AAA960348D682DB69AADE1FC106AB50227FFBDAC70FB5F73681FA90F,data/reference_phy/metadata/000000.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
1,1,0,1,40 44 33 22 11 00 01 00 58 01 00 27 48 65 75 1E 0F 5F 03 79 3E 99 5E 93 94 B2 05 3D F0 78 56 34 12,01 00 27 48 65 75 1E 0F 5F 03 79 3E 99 5E 93 94 B2 05 3D F0,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000001_fulltrim.cfile,reference/signalout_000001_fulltrim.cfile,4F5316B7650BB9D5D76A36BC9D0CA2E713E01A3EDE1D658B2CC2E84521EA125B,data/reference_phy/metadata/000001.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
2,2,0,2,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000002_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,D31405847A4ECB1EA6C37AC90DD05E576F890CDD64108A4361E45791AA3EB875,data/reference_phy/metadata/000002.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
3,3,0,3,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000003_fulltrim.cfile,reference/signalout_000003_fulltrim.cfile,86C3966285EBA413DB86CF43E1F53D8D241569150972F854C761B28043559475,data/reference_phy/metadata/000003.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
4,4,0,4,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000004_fulltrim.cfile,reference/signalout_000004_fulltrim.cfile,A53AFE560F9C3255A2F0EA76DDC974C7468FD387663807F458E1DE53583B9427,data/reference_phy/metadata/000004.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
5,5,0,5,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000005_fulltrim.cfile,reference/signalout_000005_fulltrim.cfile,CB013C10C9558B3A499E658FF527A41A9DD70C2F2E832E9C3BB1FC01C05E4ABB,data/reference_phy/metadata/000005.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
6,6,0,6,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000006_fulltrim.cfile,reference/signalout_000006_fulltrim.cfile,368B29F6F943516A4852F0F248CA908F5CBB6E5D9867C2B59801F774D79C2EAB,data/reference_phy/metadata/000006.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
7,7,0,7,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000007_fulltrim.cfile,reference/signalout_000007_fulltrim.cfile,579916E6AA71B7770268E9B5851354A7938BF7F2ACFDCAAA720DEBDAB77EA829,data/reference_phy/metadata/000007.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
8,8,0,8,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000008_fulltrim.cfile,reference/signalout_000008_fulltrim.cfile,B6C8F77BB988B9E2CB475B57D8990AB96B544A45DA55142F289297D42427F094,data/reference_phy/metadata/000008.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
9,9,0,9,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE,33,12,125000,4,16,18,1,1,1000000,32768,10000,0,2770704,8,56,6000,data/reference_phy/reference/signalout_000009_fulltrim.cfile,reference/signalout_000009_fulltrim.cfile,6006289ED933500E4087615EFAAF9C61FDA12971E9C2BC34A44E4D37AFC48EDC,data/reference_phy/metadata/000009.json,data/raw/packet_reference.txt,AF79F08533A645313F54B0A2ECC01832832ABBA15D9CFE93A2880FAF9CD36D61
