log_event_index,line_number,crc_valid,decoded_frame_hex,decoded_frame_bytes,decoded_reference_id,catalog_frame_exact
14,72,1,40 44 33 22 11 00 01 00 58 0D 00 24 92 6A 43 3D BC 1B 41 38 B9 D5 1C 90 96 13 8A B3 84 78 56 34 12,33,13,1
15,75,1,40 44 33 22 11 00 01 00 58 0E 00 7D 76 4E 04 65 EE D3 DB 17 CE A1 BD B3 75 4C 77 45 B4 78 56 34 12,33,14,1
16,78,1,40 44 33 22 11 00 01 00 58 0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1 78 56 34 12,33,15,1
17,81,1,40 44 33 22 11 00 01 00 58 10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27 78 56 34 12,33,16,1
18,84,1,40 44 33 22 11 00 01 00 58 11 00 F4 0A D3 C6 BA 1C 52 0C CF C8 B1 3E 5A 7F 01 F7 D3 F9 78 56 34 12,33,17,1
19,87,1,40 44 33 22 11 00 01 00 58 12 00 AF 35 AD 06 08 27 8F D9 F5 F3 42 86 02 24 22 0D 2A 17 78 56 34 12,33,18,1
20,90,1,40 44 33 22 11 00 01 00 58 13 00 15 12 1F 59 50 93 A8 A7 35 F2 D3 00 31 3F 7D 4D CE DC 78 56 34 12,33,19,1
21,93,1,40 44 33 22 11 00 01 00 58 14 00 60 FD BD B8 EF C4 A9 81 F4 95 4B 8F 6D 39 8C F0 5C 78 78 56 34 12,33,20,1
22,96,1,40 44 33 22 11 00 01 00 58 15 00 BA AF 12 DC EB 44 44 B2 5D 9B DE F5 78 90 2F 6A FC D7 78 56 34 12,33,21,1
23,99,1,40 44 33 22 11 00 01 00 58 16 00 F0 89 E8 B6 A2 58 97 A8 45 F2 8B 62 50 33 4D 30 F6 FB 78 56 34 12,33,22,1
24,102,1,40 44 33 22 11 00 01 00 58 17 00 6C 06 BB 34 49 C8 A7 EB D4 BD 14 75 AF 5A 77 87 3D 18 78 56 34 12,33,23,1
25,105,1,40 44 33 22 11 00 01 00 58 18 00 2D 49 F1 6A 2F F3 D8 2A 6A 9A 1A 76 EB B4 DB 4D 90 A2 78 56 34 12,33,24,1
26,108,1,40 44 33 22 11 00 01 00 58 19 00 73 76 3A 4D 68 C1 FC AD A4 5A 0F 69 73 F3 F4 B9 23 B5 78 56 34 12,33,25,1
27,111,1,40 44 33 22 11 00 01 00 58 1A 00 57 97 D8 89 7C 3C 79 17 D8 8E 5E AC 25 AC 24 BF 7B BB 78 56 34 12,33,26,1
28,114,1,40 44 33 22 11 00 01 00 58 1B 00 CC 4E FE 49 39 69 2F FB 2C B0 B6 BC 29 0A EC 2D 7B C7 78 56 34 12,33,27,1
29,117,1,40 44 33 22 11 00 01 00 58 1C 00 45 28 F9 6F 7F 79 6B EC 6B 08 AA D0 98 D6 0D E5 BF 1B 78 56 34 12,33,28,1
30,120,1,40 44 33 22 11 00 01 00 58 1D 00 AF B5 09 3A 12 34 E8 7C 85 67 EC 55 FF 66 28 D5 C7 F0 78 56 34 12,33,29,1
31,123,1,40 44 33 22 11 00 01 00 58 1E 00 C9 F4 0F E7 35 E5 E5 6F 43 1B 44 6A 2E 5A 49 57 40 7F 78 56 34 12,33,30,1
32,126,1,40 44 33 22 11 00 01 00 58 1F 00 03 6F 9B BB BC CB CE C2 01 4A AF FE 9B 73 03 7E 5E 64 78 56 34 12,33,31,1
33,129,1,40 44 33 22 11 00 01 00 58 20 00 B1 09 A4 CB 21 18 DA A7 0B C6 41 D4 A5 32 B0 3B 40 5B 78 56 34 12,33,32,1
34,132,1,40 44 33 22 11 00 01 00 58 21 00 91 01 7C 2B FC 27 4B 7F E3 F6 01 4A 33 30 13 24 01 2D 78 56 34 12,33,33,1
35,135,1,40 44 33 22 11 00 01 00 58 22 00 E7 91 7D F4 B7 D3 28 23 A9 60 DF B9 A5 49 F3 7D 2B 64 78 56 34 12,33,34,1
36,138,1,40 44 33 22 11 00 01 00 58 23 00 E8 F4 B7 A5 CB E0 F7 81 5F 05 A6 22 65 91 59 00 7B 7B 78 56 34 12,33,35,1
37,141,1,40 44 33 22 11 00 01 00 58 24 00 A4 CC 8B 3D DC 9D FA D9 9F 7E D5 AD B7 91 84 E7 7A 91 78 56 34 12,33,36,1
38,144,1,40 44 33 22 11 00 01 00 58 25 00 8E B9 F4 D9 34 EB 82 E4 D6 0F 2F 70 8C BC AC DB 4E 79 78 56 34 12,33,37,1
39,147,1,40 44 33 22 11 00 01 00 58 26 00 01 77 F1 4E 6D 7A C1 54 22 02 15 AB E8 48 AE 1C 43 FE 78 56 34 12,33,38,1
40,150,1,40 44 33 22 11 00 01 00 58 27 00 BD 1A BE 3A 08 89 07 D5 F8 64 91 29 BF 71 75 0D 64 2B 78 56 34 12,33,39,1
41,153,1,40 44 33 22 11 00 01 00 58 28 00 BB DF 57 F0 45 12 C4 20 EA 48 B9 9B 1F 20 35 86 FD C6 78 56 34 12,33,40,1
42,156,1,40 44 33 22 11 00 01 00 58 29 00 03 EA B2 34 4F EC 55 44 73 88 27 BE 1B B6 DC 3B E3 3E 78 56 34 12,33,41,1
43,159,1,40 44 33 22 11 00 01 00 58 2A 00 7A B7 BD 8A 6B 1C 54 93 BA 93 1C DD 3B F3 9C 85 F3 AE 78 56 34 12,33,42,1
44,162,1,40 44 33 22 11 00 01 00 58 2B 00 33 D6 82 26 A6 D4 F3 28 E8 DC B9 65 AB 48 78 B3 25 A3 78 56 34 12,33,43,1
45,165,1,40 44 33 22 11 00 01 00 58 2C 00 CC 13 D6 81 B0 3B 34 2A E6 66 43 E7 D0 DB CA F2 52 FA 78 56 34 12,33,44,1
46,168,1,40 44 33 22 11 00 01 00 58 2D 00 B4 CF 59 3F 73 79 23 AB 57 39 D1 B4 DF B8 F0 0F D5 82 78 56 34 12,33,45,1
47,171,1,40 44 33 22 11 00 01 00 58 2E 00 AA 5E F5 C8 74 80 62 28 AD 70 94 CC F3 B2 D1 A6 F3 5A 78 56 34 12,33,46,1
48,174,1,40 44 33 22 11 00 01 00 58 2F 00 D9 69 FF 2E F7 2C 2B 15 F7 E4 6C 66 AD 5E 5E 44 B0 54 78 56 34 12,33,47,1
49,177,1,40 44 33 22 11 00 01 00 58 30 00 66 68 25 48 BA DF C9 0E BF 17 9B A4 6B C2 F0 34 5E 3A 78 56 34 12,33,48,1
50,180,1,40 44 33 22 11 00 01 00 58 31 00 0E 4F FD 4B 29 AE C5 17 3A BB D4 55 22 4B 34 BD 3B 54 78 56 34 12,33,49,1
51,183,1,40 44 33 22 11 00 01 00 58 32 00 13 01 B3 EE 27 67 4D 23 F1 E1 68 0E 1B 88 FA 5C 61 00 78 56 34 12,33,50,1
52,186,1,40 44 33 22 11 00 01 00 58 33 00 37 A8 93 85 D8 75 E5 FC 3D 82 47 4C 40 63 71 E6 C1 39 78 56 34 12,33,51,1
53,189,1,40 44 33 22 11 00 01 00 58 34 00 50 FD 61 AD D0 7F 21 96 9A DF 97 05 C7 34 01 D6 02 1D 78 56 34 12,33,52,1
54,192,1,40 44 33 22 11 00 01 00 58 35 00 38 02 76 77 7E 0F B0 C3 75 5D 21 FA F9 16 5A C2 C3 E1 78 56 34 12,33,53,1
55,195,1,40 44 33 22 11 00 01 00 58 36 00 14 1F C9 DB C7 0D B4 33 1E 1C AE 03 3A 49 BD 56 C2 D0 78 56 34 12,33,54,1
56,198,1,40 44 33 22 11 00 01 00 58 37 00 CC 52 21 79 C0 97 EB 29 37 5B 2D 87 9C D5 D2 DC E3 4F 78 56 34 12,33,55,1
57,201,1,40 44 33 22 11 00 01 00 58 38 00 B7 26 94 89 CA 31 1E ED EC 21 4D E2 65 E9 94 0C 66 48 78 56 34 12,33,56,1
58,204,1,40 44 33 22 11 00 01 00 58 39 00 98 E5 48 B0 B8 C0 F6 3B B1 8D DE C8 DE AF 3B 58 83 B8 78 56 34 12,33,57,1
59,207,1,40 44 33 22 11 00 01 00 58 3A 00 C0 A1 76 7F 93 9B 0D B1 DA A5 68 61 B0 56 12 4C 65 EC 78 56 34 12,33,58,1
60,210,1,40 44 33 22 11 00 01 00 58 3B 00 DB 97 62 37 30 5E 98 B9 E2 EC A2 3F 65 2D 07 06 22 89 78 56 34 12,33,59,1
61,213,1,40 44 33 22 11 00 01 00 58 3C 00 2E 6D 08 D5 B1 96 68 36 0A 2D 50 3F C1 5C D6 A7 AF 84 78 56 34 12,33,60,1
62,216,1,40 44 33 22 11 00 01 00 58 3D 00 05 C5 5D 20 40 85 72 84 9C 83 FD 41 C8 85 4E 6E 2A 68 78 56 34 12,33,61,1
63,219,1,40 44 33 22 11 00 01 00 58 3E 00 F5 25 F0 75 CE 7B 9D CD D5 FD B4 64 59 97 41 42 AA 50 78 56 34 12,33,62,1
64,222,1,40 44 33 22 11 00 01 00 58 3F 00 D6 88 12 98 A8 1F 6C 6E FA 11 F6 71 CC 48 83 6F B5 B6 78 56 34 12,33,63,1
65,225,1,40 44 33 22 11 00 01 00 58 40 00 03 C2 6B D5 1D 44 0E E5 55 A0 2A 6B 16 F0 8F 68 37 A3 78 56 34 12,33,64,1
66,228,1,40 44 33 22 11 00 01 00 58 41 00 E6 6B A1 2C D6 79 D4 3C 13 FA 08 1C 7A E2 9B E2 1C B5 78 56 34 12,33,65,1
67,231,1,40 44 33 22 11 00 01 00 58 42 00 C3 F6 6E CF B0 F5 5A F9 F3 9E 3A 2C C0 7E 9F 9D CC 9D 78 56 34 12,33,66,1
68,234,1,40 44 33 22 11 00 01 00 58 43 00 30 B6 51 FB 4F B7 18 55 1B 5D C5 6D F6 E2 41 93 79 BE 78 56 34 12,33,67,1
69,237,1,40 44 33 22 11 00 01 00 58 44 00 F8 44 84 DB CA 96 23 5E 23 67 6B 3B F2 2F B7 BF D8 8A 78 56 34 12,33,68,1
70,240,1,40 44 33 22 11 00 01 00 58 45 00 89 3C 82 E7 AD 2F AD 53 F7 2B 0A 58 88 18 57 BD 44 38 78 56 34 12,33,69,1
71,243,1,40 44 33 22 11 00 01 00 58 46 00 19 DE F6 55 85 4C E3 C1 30 B6 0B C0 AF B5 25 49 3E F8 78 56 34 12,33,70,1
72,246,1,40 44 33 22 11 00 01 00 58 47 00 47 40 B4 D9 21 83 40 FC A8 54 9F B6 0D A1 13 A5 9B 39 78 56 34 12,33,71,1
73,249,1,40 44 33 22 11 00 01 00 58 48 00 51 96 FF 18 AE 4E 47 96 1D 0A 8D 1D C4 D2 CA 4B 5A 1D 78 56 34 12,33,72,1
74,252,1,40 44 33 22 11 00 01 00 58 49 00 98 CF B6 0D 06 EC EA 47 3D E4 2D 27 2D D7 5C 73 7A F1 78 56 34 12,33,73,1
75,255,1,40 44 33 22 11 00 01 00 58 4A 00 9A 82 5A 75 A7 4D 90 30 B5 E5 0E F6 29 5C 8F 16 4E 18 78 56 34 12,33,74,1
76,258,1,40 44 33 22 11 00 01 00 58 4B 00 0F 42 CA A1 A1 BD 98 5E 64 1C 02 9C 8C 6F 59 C9 FC 11 78 56 34 12,33,75,1
77,261,1,40 44 33 22 11 00 01 00 58 4C 00 5C C5 17 BB EF BA 53 57 2B 25 72 AA 50 30 3D 44 5F 09 78 56 34 12,33,76,1
78,264,1,40 44 33 22 11 00 01 00 58 4D 00 56 A5 22 04 57 27 53 43 46 1A F6 4D 17 D4 EB 05 61 89 78 56 34 12,33,77,1
79,267,1,40 44 33 22 11 00 01 00 58 4E 00 F2 4A 38 45 A3 96 3A DD E4 AC 51 03 73 E3 81 6F 6A 7B 78 56 34 12,33,78,1
80,270,1,40 44 33 22 11 00 01 00 58 4F 00 69 81 D5 D9 B5 AC 7E FF 42 DC 5B 23 35 AD D0 B4 4C 1D 78 56 34 12,33,79,1
81,273,1,40 44 33 22 11 00 01 00 58 50 00 DD 77 FE D8 0E 5D 3E B2 9A 65 78 B2 D8 2F B8 A7 5F C3 78 56 34 12,33,80,1
82,276,1,40 44 33 22 11 00 01 00 58 51 00 23 E6 3A 57 4E 28 A3 06 16 E6 74 45 D9 89 81 DD 0F 08 78 56 34 12,33,81,1
83,279,1,40 44 33 22 11 00 01 00 58 52 00 AA 5D 60 0B 9C B3 01 BC 3E CF E9 82 95 71 2D 4E DC 08 78 56 34 12,33,82,1
84,282,1,40 44 33 22 11 00 01 00 58 53 00 15 61 5A 9F 33 3F C9 DA 4D 71 FC A2 0E 37 05 71 A0 4C 78 56 34 12,33,83,1
85,285,1,40 44 33 22 11 00 01 00 58 54 00 FF D4 65 5F B1 9F 66 3E 2D A5 69 90 8E 65 DA 84 A4 CF 78 56 34 12,33,84,1
86,288,1,40 44 33 22 11 00 01 00 58 55 00 71 81 C8 31 41 79 47 E9 25 02 F9 0A 76 38 8C A0 91 28 78 56 34 12,33,85,1
87,291,1,40 44 33 22 11 00 01 00 58 56 00 86 FE 79 3F C2 AE F2 11 1D 80 61 F4 74 5F BA 51 65 7A 78 56 34 12,33,86,1
88,294,1,40 44 33 22 11 00 01 00 58 57 00 A4 2A 12 8B 3B 25 7B 3A 85 D6 A0 C2 0E 56 C7 27 E6 65 78 56 34 12,33,87,1
89,297,1,40 44 33 22 11 00 01 00 58 58 00 34 D9 A5 67 2D 27 44 AA AD BA 76 0F C8 D8 39 04 38 39 78 56 34 12,33,88,1
90,300,1,40 44 33 22 11 00 01 00 58 59 00 98 D5 7F 4C 4F 9E 62 AE 0A 5E A3 DB 22 F2 9F 3C 03 AC 78 56 34 12,33,89,1
91,303,1,40 44 33 22 11 00 01 00 58 5A 00 EE 52 0F E8 77 82 30 60 13 8F B3 86 25 B2 D8 AC 84 48 78 56 34 12,33,90,1
92,306,1,40 44 33 22 11 00 01 00 58 5B 00 68 FB AC F5 46 C1 7D AB 47 0D 57 7B 2B BF 20 8A 7F D8 78 56 34 12,33,91,1
93,309,1,40 44 33 22 11 00 01 00 58 5C 00 D0 A6 11 E2 AE D5 6E F5 B1 86 DD A2 2B 12 F7 ED C0 16 78 56 34 12,33,92,1
94,312,1,40 44 33 22 11 00 01 00 58 5D 00 D1 41 89 11 1E BB DD B4 B6 78 89 B3 DC A4 F9 BC 99 66 78 56 34 12,33,93,1
95,315,1,40 44 33 22 11 00 01 00 58 5E 00 44 17 00 97 B7 A6 41 07 82 50 66 06 B7 CA FF 9E 51 CF 78 56 34 12,33,94,1
96,318,1,40 44 33 22 11 00 01 00 58 5F 00 E6 1C B5 69 CC AE 25 A3 7D E0 FB 1B 45 B6 61 CE 13 33 78 56 34 12,33,95,1
97,321,1,40 44 33 22 11 00 01 00 58 60 00 61 ED 59 F6 A6 CF DC 15 79 21 81 C2 2B 73 35 BB 86 3F 78 56 34 12,33,96,1
98,324,1,40 44 33 22 11 00 01 00 58 61 00 49 A9 A2 AE 6B 49 1A A7 F7 75 62 30 8F 72 B4 44 E3 C1 78 56 34 12,33,97,1
99,327,1,40 44 33 22 11 00 01 00 58 62 00 73 CF DA 6A 1D F9 55 AD 75 85 88 16 09 F2 CF 95 35 A5 78 56 34 12,33,98,1
100,330,1,40 44 33 22 11 00 01 00 58 63 00 DE 9D 75 A9 21 B3 DA 00 91 17 3D 5C DD 89 1B CA E4 51 78 56 34 12,33,99,1
101,333,1,40 44 33 22 11 00 01 00 58 64 00 28 B5 18 5E 7F 7B BE 71 2F E6 E7 DB 0B AF C2 2F 6E 9C 78 56 34 12,33,100,1
102,336,1,40 44 33 22 11 00 01 00 58 65 00 72 5B E0 2D E3 E3 CA 9C E7 82 AF F0 82 4D 49 0A F6 A2 78 56 34 12,33,101,1
103,339,1,40 44 33 22 11 00 01 00 58 66 00 D6 9B 18 DF 99 4E 30 5E FB 2C D0 D0 6B BE 2E 36 9F 0F 78 56 34 12,33,102,1
104,342,1,40 44 33 22 11 00 01 00 58 67 00 6F B0 37 31 49 49 FE 60 C4 DC BD 1B E3 FE 9D B5 8E 31 78 56 34 12,33,103,1
105,345,1,40 44 33 22 11 00 01 00 58 68 00 F0 85 27 DF CD B1 42 27 52 A6 08 40 BD 68 4E 68 87 12 78 56 34 12,33,104,1
106,348,1,40 44 33 22 11 00 01 00 58 69 00 71 BE A0 DD D5 94 53 19 7D EB 54 95 1E F0 0C 2C E3 02 78 56 34 12,33,105,1
107,351,1,40 44 33 22 11 00 01 00 58 6A 00 89 65 8D E2 AC A9 57 E9 14 0C 95 B1 22 98 7C E0 A6 37 78 56 34 12,33,106,1
108,354,1,40 44 33 22 11 00 01 00 58 6B 00 A1 41 8F 69 1F 2F 79 F8 73 9C F6 D0 1D D5 1E 6D 82 87 78 56 34 12,33,107,1
109,357,1,40 44 33 22 11 00 01 00 58 6C 00 99 B3 80 62 52 7D 25 05 9C 90 23 40 98 56 66 86 FF 23 78 56 34 12,33,108,1
110,360,1,40 44 33 22 11 00 01 00 58 6D 00 28 CD D6 A3 A9 3D AE 8F DA 30 C0 C9 9A 63 66 E7 8D 74 78 56 34 12,33,109,1
111,363,1,40 44 33 22 11 00 01 00 58 6E 00 9C A0 A2 14 51 2C 77 97 80 B4 01 C8 30 3B 48 3C 9C FD 78 56 34 12,33,110,1
112,366,1,40 44 33 22 11 00 01 00 58 6F 00 1C CF 7B FE 32 F4 F6 BD 8E 35 D8 66 9E 0B AF CF F1 0D 78 56 34 12,33,111,1
113,369,1,40 44 33 22 11 00 01 00 58 70 00 48 13 68 7A BE 5D 0D AC AA 4D 32 C7 9A B7 06 0C 40 DC 78 56 34 12,33,112,1
114,372,1,40 44 33 22 11 00 01 00 58 71 00 3B 14 2A 69 86 23 AB 2F EF A1 8D E0 A9 02 EF 56 76 70 78 56 34 12,33,113,1
115,375,1,40 44 33 22 11 00 01 00 58 72 00 C9 BC 48 72 25 D0 06 B7 7F 55 33 E2 C5 26 8E CB 20 48 78 56 34 12,33,114,1
116,378,1,40 44 33 22 11 00 01 00 58 73 00 22 6D 6C E3 8F B5 48 51 86 56 08 C4 AF 80 7D 61 F5 0C 78 56 34 12,33,115,1
117,381,1,40 44 33 22 11 00 01 00 58 74 00 A7 FD 4D 4C 45 C4 AD 2C 0D 85 14 A1 74 EF 1C 24 37 4B 78 56 34 12,33,116,1
118,384,1,40 44 33 22 11 00 01 00 58 75 00 42 C5 6C F4 86 61 72 F4 B2 4F 3D CD 59 7F 17 44 8C 33 78 56 34 12,33,117,1
119,387,1,40 44 33 22 11 00 01 00 58 76 00 B1 CC 91 0F B9 5B DA 34 78 4B FD 6A B0 FB AD 5B 08 5F 78 56 34 12,33,118,1
120,390,1,40 44 33 22 11 00 01 00 58 77 00 66 EE 2C 56 EF CF 9E 51 B3 3E D8 1F 13 1D B0 32 F7 55 78 56 34 12,33,119,1
121,393,1,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,33,0,1
122,396,1,40 44 33 22 11 00 01 00 58 01 00 27 48 65 75 1E 0F 5F 03 79 3E 99 5E 93 94 B2 05 3D F0 78 56 34 12,33,1,1
123,399,1,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,33,2,1
124,402,1,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,33,3,1
125,405,1,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,33,4,1
126,408,1,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,33,5,1
127,411,1,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,33,6,1
128,414,1,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,33,7,1
129,417,1,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,33,8,1
130,420,1,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,33,9,1
