log_event_index,line_number,crc_valid,decoded_frame_hex,decoded_frame_bytes,decoded_reference_id,catalog_frame_exact
0,30,1,40 44 33 22 11 00 01 00 58 32 00 13 01 B3 EE 27 67 4D 23 F1 E1 68 0E 1B 88 FA 5C 61 00 78 56 34 12,33,50,1
1,33,1,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,33,0,1
2,36,1,40 44 33 22 11 00 01 00 58 01 00 27 48 65 75 1E 0F 5F 03 79 3E 99 5E 93 94 B2 05 3D F0 78 56 34 12,33,1,1
3,39,1,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,33,2,1
4,42,1,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,33,3,1
5,45,1,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,33,4,1
6,48,1,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,33,5,1
7,51,1,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,33,6,1
8,54,1,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,33,7,1
9,57,1,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,33,8,1
10,60,1,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,33,9,1
11,63,1,40 44 33 22 11 00 01 00 58 0A 00 5D 6C 2C 7E 06 8C A5 1D 13 C6 9F C2 16 4B 05 58 45 67 78 56 34 12,33,10,1
12,66,1,40 44 33 22 11 00 01 00 58 0B 00 95 C7 C5 3A 1F 37 68 25 72 C2 4A 55 0F 65 31 6B 24 DE 78 56 34 12,33,11,1
13,69,1,40 44 33 22 11 00 01 00 58 0C 00 58 33 32 20 52 22 36 72 83 E3 C5 9D 70 A2 26 6E 54 F2 78 56 34 12,33,12,1
