physical_packet_uid,capture_uid,capture_packet_index,sequence_segment,schedule_slot,detection_index,start_sample_2m,predicted_start_sample_2m,timing_residual_samples,reference_id,association_method,association_confidence,status,crc_valid,decoded_frame_hex,catalog_frame_exact,grlora_snr_db,estimated_cfo_hz,sto,sfo,previous_anchor_detection,next_anchor_detection,schedule_period_samples,local_search_used,local_search_score,notes
exp000_sess000_run000:seg00:slot000015,exp000_sess000_run000,15,0,15,14,184176477,184176258,219,15,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1 78 56 34 12,1,-1.6720691919326782,-128.33187866210938,328.4502258300781,-0.03289211541414261,14,14,12003773.0,0,,
exp000_sess000_run000:seg00:slot000016,exp000_sess000_run000,16,0,16,15,196180066,196180031,35,16,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27 78 56 34 12,1,-2.0733284950256348,-129.3634490966797,369.214599609375,-0.033156510442495346,15,15,12003773.0,0,,
exp000_sess000_run000:seg00:slot000017,exp000_sess000_run000,17,0,17,16,208182831,208183804,-973,17,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 11 00 F4 0A D3 C6 BA 1C 52 0C CF C8 B1 3E 5A 7F 01 F7 D3 F9 78 56 34 12,1,-1.855231761932373,-128.39451599121094,421.41766357421875,-0.03290816769003868,16,16,12003773.0,0,,
exp000_sess000_run000:seg00:slot000018,exp000_sess000_run000,18,0,18,17,220186753,220187577,-824,18,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 12 00 AF 35 AD 06 08 27 8F D9 F5 F3 42 86 02 24 22 0D 2A 17 78 56 34 12,1,-1.9332013130187988,-128.38351440429688,348.39935302734375,-0.032905351370573044,17,17,12003773.0,0,,
exp000_sess000_run000:seg00:slot000019,exp000_sess000_run000,19,0,19,18,232190679,232191350,-671,19,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 13 00 15 12 1F 59 50 93 A8 A7 35 F2 D3 00 31 3F 7D 4D CE DC 78 56 34 12,1,-1.8277759552001953,-129.34368896484375,348.0914611816406,-0.033151447772979736,18,18,12003773.0,0,,
exp000_sess000_run000:seg00:slot000020,exp000_sess000_run000,20,0,20,19,244195529,244195123,406,20,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 14 00 60 FD BD B8 EF C4 A9 81 F4 95 4B 8F 6D 39 8C F0 5C 78 78 56 34 12,1,-2.3700692653656006,-129.34617614746094,291.012451171875,-0.03315208479762077,19,19,12003773.0,0,,
exp000_sess000_run000:seg00:slot000021,exp000_sess000_run000,21,0,21,20,256198279,256198896,-617,21,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 15 00 BA AF 12 DC EB 44 44 B2 5D 9B DE F5 78 90 2F 6A FC D7 78 56 34 12,1,-1.8129925727844238,-128.2945098876953,423.2051086425781,-0.03288253769278526,20,20,12003773.0,0,,
exp000_sess000_run000:seg00:slot000022,exp000_sess000_run000,22,0,22,21,268202799,268202669,130,22,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 16 00 F0 89 E8 B6 A2 58 97 A8 45 F2 8B 62 50 33 4D 30 F6 FB 78 56 34 12,1,-2.083909749984741,-128.24624633789062,311.758544921875,-0.03287016972899437,21,21,12003773.0,0,,
exp000_sess000_run000:seg00:slot000023,exp000_sess000_run000,23,0,23,22,280206727,280206442,285,23,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 17 00 6C 06 BB 34 49 C8 A7 EB D4 BD 14 75 AF 5A 77 87 3D 18 78 56 34 12,1,-3.7089407444000244,-128.25006103515625,349.3117980957031,-0.032871145755052567,22,22,12003773.0,0,,
exp000_sess000_run000:seg00:slot000024,exp000_sess000_run000,24,0,24,23,292210835,292210215,620,24,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 18 00 2D 49 F1 6A 2F F3 D8 2A 6A 9A 1A 76 EB B4 DB 4D 90 A2 78 56 34 12,1,-1.7080726623535156,-128.2469940185547,337.60845947265625,-0.03287035971879959,23,23,12003773.0,0,,
exp000_sess000_run000:seg00:slot000025,exp000_sess000_run000,25,0,25,24,304214899,304213988,911,25,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 19 00 73 76 3A 4D 68 C1 FC AD A4 5A 0F 69 73 F3 F4 B9 23 B5 78 56 34 12,1,-1.7759367227554321,-128.17572021484375,339.67071533203125,-0.032852090895175934,24,24,12003773.0,0,,
exp000_sess000_run000:seg00:slot000026,exp000_sess000_run000,26,0,26,25,316217170,316217761,-591,26,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1A 00 57 97 D8 89 7C 3C 79 17 D8 8E 5E AC 25 AC 24 BF 7B BB 78 56 34 12,1,-1.7734328508377075,-128.0283966064453,451.80169677734375,-0.032814331352710724,25,25,12003773.0,0,,
exp000_sess000_run000:seg00:slot000027,exp000_sess000_run000,27,0,27,26,328222111,328221534,577,27,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1B 00 CC 4E FE 49 39 69 2F FB 2C B0 B6 BC 29 0A EC 2D 7B C7 78 56 34 12,1,-1.5273505449295044,-127.98945617675781,286.03497314453125,-0.032804351300001144,26,26,12003773.0,0,,
exp000_sess000_run000:seg00:slot000028,exp000_sess000_run000,28,0,28,27,340225233,340225307,-74,28,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1C 00 45 28 F9 6F 7F 79 6B EC 6B 08 AA D0 98 D6 0D E5 BF 1B 78 56 34 12,1,-1.537676453590393,-128.00482177734375,400.04974365234375,-0.03280828893184662,27,27,12003773.0,0,,
exp000_sess000_run000:seg00:slot000029,exp000_sess000_run000,29,0,29,28,352229076,352229080,-4,29,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1D 00 AF B5 09 3A 12 34 E8 7C 85 67 EC 55 FF 66 28 D5 C7 F0 78 56 34 12,1,-2.027336359024048,-128.0087127685547,353.9170227050781,-0.032809287309646606,28,28,12003773.0,0,,
exp000_sess000_run000:seg00:slot000030,exp000_sess000_run000,30,0,30,29,364233730,364232853,877,30,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1E 00 C9 F4 0F E7 35 E5 E5 6F 43 1B 44 6A 2E 5A 49 57 40 7F 78 56 34 12,1,-2.058812379837036,-128.0208282470703,304.1225891113281,-0.032812394201755524,29,29,12003773.0,0,,
exp000_sess000_run000:seg00:slot000031,exp000_sess000_run000,31,0,31,30,376237641,376236626,1015,31,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 1F 00 03 6F 9B BB BC CB CE C2 01 4A AF FE 9B 73 03 7E 5E 64 78 56 34 12,1,-2.1093356609344482,-128.02406311035156,349.7491149902344,-0.03281322121620178,30,30,12003773.0,0,,
exp000_sess000_run000:seg00:slot000032,exp000_sess000_run000,32,0,32,31,388239864,388240399,-535,32,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 20 00 B1 09 A4 CB 21 18 DA A7 0B C6 41 D4 A5 32 B0 3B 40 5B 78 56 34 12,1,-1.9794412851333618,-127.996337890625,454.85980224609375,-0.03280611336231232,31,31,12003773.0,0,,
exp000_sess000_run000:seg00:slot000033,exp000_sess000_run000,33,0,33,32,400244620,400244172,448,33,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 21 00 91 01 7C 2B FC 27 4B 7F E3 F6 01 4A 33 30 13 24 01 2D 78 56 34 12,1,-1.893031120300293,-127.96359252929688,296.7181396484375,-0.03279772028326988,32,32,12003773.0,0,,
exp000_sess000_run000:seg00:slot000034,exp000_sess000_run000,34,0,34,33,412247437,412247945,-508,34,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 22 00 E7 91 7D F4 B7 D3 28 23 A9 60 DF B9 A5 49 F3 7D 2B 64 78 56 34 12,1,-1.954121470451355,-127.94161224365234,417.7114562988281,-0.03279208764433861,33,33,12003773.0,0,,
exp000_sess000_run000:seg00:slot000035,exp000_sess000_run000,35,0,35,34,424252142,424251718,424,35,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 23 00 E8 F4 B7 A5 CB E0 F7 81 5F 05 A6 22 65 91 59 00 7B 7B 78 56 34 12,1,-1.8520492315292358,-127.92807006835938,299.7105407714844,-0.03278861939907074,34,34,12003773.0,0,,
exp000_sess000_run000:seg00:slot000036,exp000_sess000_run000,36,0,36,35,436255395,436255491,-96,36,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 24 00 A4 CC 8B 3D DC 9D FA D9 9F 7E D5 AD B7 91 84 E7 7A 91 78 56 34 12,1,-1.9307249784469604,-127.8741455078125,390.4434509277344,-0.03277479484677315,35,35,12003773.0,0,,
exp000_sess000_run000:seg00:slot000037,exp000_sess000_run000,37,0,37,36,448260115,448259264,851,37,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 25 00 8E B9 F4 D9 34 EB 82 E4 D6 0F 2F 70 8C BC AC DB 4E 79 78 56 34 12,1,-1.917508602142334,-127.8524169921875,298.4805908203125,-0.03276922553777695,36,36,12003773.0,0,,
