detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
95,96,1156481794,1157808898,1162003202,1,1,40 44 33 22 11 00 01 00 58 60 00 61 ED 59 F6 A6 CF DC 15 79 21 81 C2 2B 73 35 BB 86 3F 78 56 34 12,33,-2.0607240200042725,-126.9837417602539,403.1991271972656,-0.03254658356308937,7,15,65536
96,97,1168485688,1169812792,1174007096,1,1,40 44 33 22 11 00 01 00 58 61 00 49 A9 A2 AE 6B 49 1A A7 F7 75 62 30 8F 72 B4 44 E3 C1 78 56 34 12,33,-2.3333871364593506,-127.00049591064453,350.8513488769531,-0.0325508750975132,8,16,65536
97,98,1180489206,1181816310,1186010614,1,1,40 44 33 22 11 00 01 00 58 62 00 73 CF DA 6A 1D F9 55 AD 75 85 88 16 09 F2 CF 95 35 A5 78 56 34 12,33,-1.7325633764266968,-127.00133514404297,375.0625305175781,-0.03255109116435051,7,15,65536
98,99,1192493751,1193820855,1198015159,1,1,40 44 33 22 11 00 01 00 58 63 00 DE 9D 75 A9 21 B3 DA 00 91 17 3D 5C DD 89 1B CA E4 51 78 56 34 12,33,-1.9032071828842163,-127.05135345458984,311.07806396484375,-0.03256390988826752,7,15,65536
99,100,1204496326,1205823430,1210017734,1,1,40 44 33 22 11 00 01 00 58 64 00 28 B5 18 5E 7F 7B BE 71 2F E6 E7 DB 0B AF C2 2F 6E 9C 78 56 34 12,33,-2.713127851486206,-127.05206298828125,434.17962646484375,-0.03256409242749214,7,15,65536
100,101,1216501816,1217828920,1222023224,1,1,40 44 33 22 11 00 01 00 58 65 00 72 5B E0 2D E3 E3 CA 9C E7 82 AF F0 82 4D 49 0A F6 A2 78 56 34 12,33,-1.2432570457458496,-127.00685119628906,252.10397338867188,-0.03255250304937363,7,15,65536
101,102,1228504989,1229832093,1234026397,1,1,40 44 33 22 11 00 01 00 58 66 00 D6 9B 18 DF 99 4E 30 5E FB 2C D0 D0 6B BE 2E 36 9F 0F 78 56 34 12,33,-1.3476510047912598,-126.999755859375,395.89227294921875,-0.03255068510770798,8,16,65536
102,103,1240508148,1241835252,1246029556,1,1,40 44 33 22 11 00 01 00 58 67 00 6F B0 37 31 49 49 FE 60 C4 DC BD 1B E3 FE 9D B5 8E 31 78 56 34 12,33,-0.8444839119911194,-127.04466247558594,396.4942626953125,-0.032562196254730225,8,16,65536
103,104,1252513195,1253840299,1258034603,1,1,40 44 33 22 11 00 01 00 58 68 00 F0 85 27 DF CD B1 42 27 52 A6 08 40 BD 68 4E 68 87 12 78 56 34 12,33,-1.5771139860153198,-127.09342193603516,279.11749267578125,-0.032574694603681564,7,15,65536
104,105,1264515840,1265842944,1270037248,1,1,40 44 33 22 11 00 01 00 58 69 00 71 BE A0 DD D5 94 53 19 7D EB 54 95 1E F0 0C 2C E3 02 78 56 34 12,33,-1.4779936075210571,-127.06307983398438,428.88153076171875,-0.032566916197538376,8,16,65536
105,106,1276519741,1277846845,1282041149,1,1,40 44 33 22 11 00 01 00 58 6A 00 89 65 8D E2 AC A9 57 E9 14 0C 95 B1 22 98 7C E0 A6 37 78 56 34 12,33,-0.7090771198272705,-127.00399780273438,351.0942077636719,-0.03255177289247513,7,15,65536
106,107,1288524068,1289851172,1294045476,1,1,40 44 33 22 11 00 01 00 58 6B 00 A1 41 8F 69 1F 2F 79 F8 73 9C F6 D0 1D D5 1E 6D 82 87 78 56 34 12,33,-1.4138240814208984,-127.00727081298828,323.72015380859375,-0.03255261108279228,8,16,65536
107,108,1300527139,1301854243,1306048547,1,1,40 44 33 22 11 00 01 00 58 6C 00 99 B3 80 62 52 7D 25 05 9C 90 23 40 98 56 66 86 FF 23 78 56 34 12,33,-1.4718362092971802,-127.1171646118164,401.8935546875,-0.03258077800273895,8,16,65536
108,109,1312530903,1313858007,1318052311,1,1,40 44 33 22 11 00 01 00 58 6D 00 28 CD D6 A3 A9 3D AE 8F DA 30 C0 C9 9A 63 66 E7 8D 74 78 56 34 12,33,0.006488236133009195,-127.1397705078125,358.6603088378906,-0.03258657082915306,8,16,65536
109,110,1324535035,1325862139,1330056443,1,1,40 44 33 22 11 00 01 00 58 6E 00 9C A0 A2 14 51 2C 77 97 80 B4 01 C8 30 3B 48 3C 9C FD 78 56 34 12,33,-1.4377776384353638,-127.23241424560547,335.4972839355469,-0.032610319554805756,8,16,65536
110,111,1336538646,1337865750,1342060054,1,1,40 44 33 22 11 00 01 00 58 6F 00 1C CF 7B FE 32 F4 F6 BD 8E 35 D8 66 9E 0B AF CF F1 0D 78 56 34 12,33,-1.5035014152526855,-127.28529357910156,367.8648986816406,-0.03262387216091156,8,16,65536
111,112,1348542355,1349869459,1354063763,1,1,40 44 33 22 11 00 01 00 58 70 00 48 13 68 7A BE 5D 0D AC AA 4D 32 C7 9A B7 06 0C 40 DC 78 56 34 12,33,-2.8150060176849365,-128.34454345703125,362.10491943359375,-0.03289536014199257,8,16,65536
112,113,1360547126,1361874230,1366068534,1,1,40 44 33 22 11 00 01 00 58 71 00 3B 14 2A 69 86 23 AB 2F EF A1 8D E0 A9 02 EF 56 76 70 78 56 34 12,33,-3.194331407546997,-128.40054321289062,296.014892578125,-0.03290971368551254,8,16,65536
113,114,1372550058,1373877162,1378071466,1,1,40 44 33 22 11 00 01 00 58 72 00 C9 BC 48 72 25 D0 06 B7 7F 55 33 E2 C5 26 8E CB 20 48 78 56 34 12,33,-2.3826637268066406,-127.39570617675781,410.7964782714844,-0.03265216946601868,8,16,65536
114,115,1384554421,1385881525,1390075829,1,1,40 44 33 22 11 00 01 00 58 73 00 22 6D 6C E3 8F B5 48 51 86 56 08 C4 AF 80 7D 61 F5 0C 78 56 34 12,33,-2.1085433959960938,-128.38995361328125,321.176513671875,-0.03290700167417526,8,16,65536
115,116,1396557191,1397884295,1402078599,1,1,40 44 33 22 11 00 01 00 58 74 00 A7 FD 4D 4C 45 C4 AD 2C 0D 85 14 A1 74 EF 1C 24 37 4B 78 56 34 12,33,-2.858492851257324,-128.3228302001953,421.12896728515625,-0.032889798283576965,8,16,65536
116,117,1408561140,1409888244,1414082548,1,1,40 44 33 22 11 00 01 00 58 75 00 42 C5 6C F4 86 61 72 F4 B2 4F 3D CD 59 7F 17 44 8C 33 78 56 34 12,33,-1.3620295524597168,-127.32344818115234,347.37811279296875,-0.03263365104794502,8,16,65536
117,118,1420566095,1421893199,1426087503,1,1,40 44 33 22 11 00 01 00 58 76 00 B1 CC 91 0F B9 5B DA 34 78 4B FD 6A B0 FB AD 5B 08 5F 78 56 34 12,33,-1.2677544355392456,-127.3520278930664,283.7646789550781,-0.0326409749686718,8,16,65536
118,119,1432568546,1433895650,1438089954,1,1,40 44 33 22 11 00 01 00 58 77 00 66 EE 2C 56 EF CF 9E 51 B3 3E D8 1F 13 1D B0 32 F7 55 78 56 34 12,33,-1.3257721662521362,-127.37418365478516,440.6231994628906,-0.032646652311086655,8,16,65536
119,120,1444573199,1445900303,1450094607,1,1,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,33,-1.3003817796707153,-127.44502258300781,302.8697204589844,-0.03266480937600136,8,16,65536
120,121,1456576773,1457903877,1462098181,1,1,40 44 33 22 11 00 01 00 58 01 00 27 48 65 75 1E 0F 5F 03 79 3E 99 5E 93 94 B2 05 3D F0 78 56 34 12,33,-1.4438225030899048,-127.46342468261719,370.5598449707031,-0.03266952559351921,8,16,65536
121,122,1468581777,1469908881,1474103185,1,1,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,33,-1.6648222208023071,-127.49534606933594,280.8758544921875,-0.03267770633101463,8,16,65536
122,123,1480585186,1481912290,1486106594,1,1,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,33,-1.6395550966262817,-127.43656921386719,380.8964538574219,-0.03266264125704765,8,16,65536
123,124,1492587858,1493914962,1498109266,1,1,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,33,-1.4042125940322876,-127.45497131347656,426.924560546875,-0.032667357474565506,8,16,65536
124,125,1504591244,1505918348,1510112652,1,1,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,33,-1.6026296615600586,-128.45545959472656,382.3461608886719,-0.03292378783226013,8,16,65536
125,126,1516594557,1517921661,1522115965,1,1,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,33,-1.5570489168167114,-127.4587631225586,387.42034912109375,-0.032668329775333405,8,16,65536
126,127,1528597719,1529924823,1534119127,1,1,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,33,-1.734190583229065,-127.41128540039062,395.8948059082031,-0.03265616297721863,8,16,65536
127,128,1540601701,1541928805,1546123109,1,1,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,33,-1.219992995262146,-128.40638732910156,345.0458679199219,-0.032911211252212524,8,16,65536
128,129,1552606199,1553933303,1558127607,1,1,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,33,-7.007447719573975,-127.41738891601562,313.00360107421875,-0.03265772759914398,8,16,65536
