detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
21,22,268202799,269529903,273724207,1,1,40 44 33 22 11 00 01 00 58 16 00 F0 89 E8 B6 A2 58 97 A8 45 F2 8B 62 50 33 4D 30 F6 FB 78 56 34 12,33,-2.083909749984741,-128.24624633789062,311.758544921875,-0.03287016972899437,8,16,65536
22,23,280206727,281533831,285728135,1,1,40 44 33 22 11 00 01 00 58 17 00 6C 06 BB 34 49 C8 A7 EB D4 BD 14 75 AF 5A 77 87 3D 18 78 56 34 12,33,-3.7089407444000244,-128.25006103515625,349.3117980957031,-0.032871145755052567,7,15,65536
23,24,292210835,293537939,297732243,1,1,40 44 33 22 11 00 01 00 58 18 00 2D 49 F1 6A 2F F3 D8 2A 6A 9A 1A 76 EB B4 DB 4D 90 A2 78 56 34 12,33,-1.7080726623535156,-128.2469940185547,337.60845947265625,-0.03287035971879959,8,16,65536
24,25,304214899,305542003,309736307,1,1,40 44 33 22 11 00 01 00 58 19 00 73 76 3A 4D 68 C1 FC AD A4 5A 0F 69 73 F3 F4 B9 23 B5 78 56 34 12,33,-1.7759367227554321,-128.17572021484375,339.67071533203125,-0.032852090895175934,8,16,65536
25,26,316217170,317544274,321738578,1,1,40 44 33 22 11 00 01 00 58 1A 00 57 97 D8 89 7C 3C 79 17 D8 8E 5E AC 25 AC 24 BF 7B BB 78 56 34 12,33,-1.7734328508377075,-128.0283966064453,451.80169677734375,-0.032814331352710724,8,16,65536
26,27,328222111,329549215,333743519,1,1,40 44 33 22 11 00 01 00 58 1B 00 CC 4E FE 49 39 69 2F FB 2C B0 B6 BC 29 0A EC 2D 7B C7 78 56 34 12,33,-1.5273505449295044,-127.98945617675781,286.03497314453125,-0.032804351300001144,7,15,65536
27,28,340225233,341552337,345746641,1,1,40 44 33 22 11 00 01 00 58 1C 00 45 28 F9 6F 7F 79 6B EC 6B 08 AA D0 98 D6 0D E5 BF 1B 78 56 34 12,33,-1.537676453590393,-128.00482177734375,400.04974365234375,-0.03280828893184662,7,15,65536
28,29,352229076,353556180,357750484,1,1,40 44 33 22 11 00 01 00 58 1D 00 AF B5 09 3A 12 34 E8 7C 85 67 EC 55 FF 66 28 D5 C7 F0 78 56 34 12,33,-2.027336359024048,-128.0087127685547,353.9170227050781,-0.032809287309646606,8,16,65536
29,30,364233730,365560834,369755138,1,1,40 44 33 22 11 00 01 00 58 1E 00 C9 F4 0F E7 35 E5 E5 6F 43 1B 44 6A 2E 5A 49 57 40 7F 78 56 34 12,33,-2.058812379837036,-128.0208282470703,304.1225891113281,-0.032812394201755524,7,15,65536
30,31,376237641,377564745,381759049,1,1,40 44 33 22 11 00 01 00 58 1F 00 03 6F 9B BB BC CB CE C2 01 4A AF FE 9B 73 03 7E 5E 64 78 56 34 12,33,-2.1093356609344482,-128.02406311035156,349.7491149902344,-0.03281322121620178,8,16,65536
31,32,388239864,389566968,393761272,1,1,40 44 33 22 11 00 01 00 58 20 00 B1 09 A4 CB 21 18 DA A7 0B C6 41 D4 A5 32 B0 3B 40 5B 78 56 34 12,33,-1.9794412851333618,-127.996337890625,454.85980224609375,-0.03280611336231232,8,16,65536
32,33,400244620,401571724,405766028,1,1,40 44 33 22 11 00 01 00 58 21 00 91 01 7C 2B FC 27 4B 7F E3 F6 01 4A 33 30 13 24 01 2D 78 56 34 12,33,-1.893031120300293,-127.96359252929688,296.7181396484375,-0.03279772028326988,8,16,65536
33,34,412247437,413574541,417768845,1,1,40 44 33 22 11 00 01 00 58 22 00 E7 91 7D F4 B7 D3 28 23 A9 60 DF B9 A5 49 F3 7D 2B 64 78 56 34 12,33,-1.954121470451355,-127.94161224365234,417.7114562988281,-0.03279208764433861,8,16,65536
34,35,424252142,425579246,429773550,1,1,40 44 33 22 11 00 01 00 58 23 00 E8 F4 B7 A5 CB E0 F7 81 5F 05 A6 22 65 91 59 00 7B 7B 78 56 34 12,33,-1.8520492315292358,-127.92807006835938,299.7105407714844,-0.03278861939907074,8,16,65536
35,36,436255395,437582499,441776803,1,1,40 44 33 22 11 00 01 00 58 24 00 A4 CC 8B 3D DC 9D FA D9 9F 7E D5 AD B7 91 84 E7 7A 91 78 56 34 12,33,-1.9307249784469604,-127.8741455078125,390.4434509277344,-0.03277479484677315,8,16,65536
36,37,448260115,449587219,453781523,1,1,40 44 33 22 11 00 01 00 58 25 00 8E B9 F4 D9 34 EB 82 E4 D6 0F 2F 70 8C BC AC DB 4E 79 78 56 34 12,33,-1.917508602142334,-127.8524169921875,298.4805908203125,-0.03276922553777695,8,16,65536
37,38,460264184,461591288,465785592,1,1,40 44 33 22 11 00 01 00 58 26 00 01 77 F1 4E 6D 7A C1 54 22 02 15 AB E8 48 AE 1C 43 FE 78 56 34 12,33,-2.0840184688568115,-127.87554168701172,340.2484130859375,-0.0327751561999321,7,15,65536
38,39,472267490,473594594,477788898,1,1,40 44 33 22 11 00 01 00 58 27 00 BD 1A BE 3A 08 89 07 D5 F8 64 91 29 BF 71 75 0D 64 2B 78 56 34 12,33,-1.9860621690750122,-127.83734130859375,387.7073974609375,-0.03276536241173744,8,16,65536
39,40,484271862,485598966,489793270,1,1,40 44 33 22 11 00 01 00 58 28 00 BB DF 57 F0 45 12 C4 20 EA 48 B9 9B 1F 20 35 86 FD C6 78 56 34 12,33,-1.9091137647628784,-127.83883666992188,320.4870910644531,-0.032765746116638184,8,16,65536
40,41,496274476,497601580,501795884,1,1,40 44 33 22 11 00 01 00 58 29 00 03 EA B2 34 4F EC 55 44 73 88 27 BE 1B B6 DC 3B E3 3E 78 56 34 12,33,-2.014380693435669,-127.86447143554688,431.1690673828125,-0.03277231752872467,7,15,65536
